tstart,tstop,ED,EDerr,ffd_x,ffd_y,ffd_xerr,ffd_yerr
2455190.722799364,2455190.8331423574,106.7605309095088,0.10425609572885057,2.028410724824132,-1.4063127062569467,0.00529780346406405,1.0088120793450743
2455191.892299728,2455192.012859691,95.74050011279945,0.10471611092580252,1.9810956917448628,-1.1052827105929655,0.006467699170282936,0.5772452022003457
2455188.604482618,2455188.7413899945,82.49016962303912,0.10093007259243772,1.9164021966366573,-0.9291914515372843,0.008543543168430815,0.42510070992792937
2455180.725138233,2455180.829351847,43.13643342345548,0.06161427328374414,1.634844234217032,-0.8042527149289843,0.012463706625126672,0.34520434027001645
2455200.0454034284,2455200.101255657,24.173862466941802,0.06132818341374457,1.3833460469348342,-0.707342701920928,0.011916974626278345,0.2951392130518884
2455189.5553414933,2455189.662960122,23.95766566602876,0.07037707685097477,1.3794444999547255,-0.6281614558733032,0.023226037291964034,0.2604374406763506
2455181.3238552683,2455181.424663176,15.461936009944719,0.03914219434721005,1.189263871587154,-0.5612146662426899,0.033737404941562375,0.23475987879436833
2455185.439943872,2455185.4944343823,11.581999815628482,0.059988069261344444,1.063783553683909,-0.5032227192650032,0.02432877324545709,0.21486936050662833
2455199.146997442,2455199.1613010857,8.027273847233694,0.03456306424954467,0.9045680790118823,-0.45207019681762184,0.009177007474224994,0.1989309518893211
2455184.8051281744,2455184.830330151,7.327578598062825,0.044075045626489326,0.8649604855235611,-0.40631270625694677,0.017768991119296286,0.18582241651653325
2455186.862147864,2455186.8798573776,7.157390776013248,0.04468617620625207,0.8547547292767064,-0.36492002109872174,0.012766393719978201,0.17481645120887818
2455188.8347049393,2455188.8496897873,6.106773167219107,0.04155981690434574,0.7858117886622115,-0.32713146020932193,0.012660178577072993,0.1654196634679031
2455186.1449158066,2455186.161263003,5.950469428181678,0.04769829129738092,0.7745512282541228,-0.29236935395011004,0.014181138445613948,0.15728473244043825
2455179.787216034,2455179.807649979,4.216549835208517,0.040109847209149556,0.6249572375999566,-0.26018467057870875,0.02506161872879837,0.1501595777428738
2455184.84667736,2455184.8596187048,3.729987733874775,0.03883626885096975,0.5717074036265807,-0.23022144720126556,0.017925587941957824,0.14385648494858136
2455199.877846229,2455199.886700814,3.481719277284257,0.030353542262501563,0.5417937520652953,-0.20219272360102197,0.013123390582025102,0.1382325782831936
2455173.1318361894,2455173.1440967005,3.126353827460994,0.03924667382698514,0.4950381280715025,-0.17586378487867285,0.020269330964495343,0.13317703864668626
2455175.98375554,2455175.9919292354,2.7046265735256223,0.030693887224193774,0.4321073107540273,-0.15104020115364067,0.015606203911517758,0.12860248623118545
2455199.2443985194,2455199.253253208,2.5697251282146665,0.026859955046099126,0.4098866713142169,-0.1275591053041178,0.01780237788733614,0.12443901982447243
2455174.631699769,2455174.6425979366,2.4912304691749374,0.031226639992205762,0.39641390692668715,-0.1052827105929656,0.02261734609690994,0.12062999987437414
2455171.751851778,2455171.7573009203,2.3545156149757736,0.03016211688290063,0.37190157499760995,-0.08409341152302749,0.011937181721511063,0.1171290051710227
2455194.7748387945,2455194.780968873,2.2918827857348454,0.025108010822774734,0.360192402645147,-0.06389002543474054,0.013805205329557148,0.11389759718800557
2455171.1626676214,2455171.178333935,2.0574312151536245,0.027731354280830775,0.3133253246237608,-0.04458487023935387,0.0394124520021906,0.11090365139136645
2455186.3921668734,2455186.3982970836,1.9717617792314734,0.02025658825697592,0.29485444396488136,-0.026101464545340746,0.016056605226366663,0.10812009372481546
2455196.617290712,2455196.6268264237,1.9609049047586125,0.03400426814640196,0.2924565328110826,-0.00837269758490913,0.02514862776812321,0.10552393135921022
2455199.4725759863,2455199.4787061466,1.8233793055548924,0.02947712188875948,0.26087702146593494,0.008660641713871157,0.017367996224473898,0.1030955003101922
2455185.3043983513,2455185.3105285657,1.6741995962391678,0.024010509493513018,0.22380723285551793,0.025051057902040576,0.018921086512010524,0.10081787503543951
2455198.688599058,2455198.6926859003,1.4019574010754772,0.021833137329181858,0.14673481765423194,0.040845325085272464,0.015051434705208434,0.09867640050584309
2455171.6762455045,2455171.6803323114,1.3508835250826587,0.02298762783452708,0.130617905206675,0.056085291642009316,0.015622627838534912,0.09665831792868873
2455199.73072291,2455199.7361719627,1.3123614495525682,0.0238015527331942,0.11805346455727982,0.07080854846271564,0.021463861777928434,0.0947524628314447
2455193.319266113,2455193.3240340785,1.2459955175130446,0.02562867182417094,0.09551647994526027,0.08504898757732596,0.01977669341282011,0.0929490195954022
2455189.021334814,2455189.026102692,1.21256235722171,0.019834254723894728,0.08370408187301437,0.09883727206295924,0.020323263276460713,0.09123932042165334
2455177.690000898,2455177.6934064766,1.1420186234742609,0.021907665894804407,0.057673186226954345,0.11220123362094071,0.015398605966123738,0.08961567956196546
2455176.1887775245,2455176.194226654,1.0684555334173387,0.023730563593149217,0.02875645257091215,0.12516621078530835,0.02637767781565367,0.08807125575631577
2455171.7681991044,2455171.772967029,0.9510956857113197,0.02066766852590351,-0.021775788334954457,0.13775533809332885,0.02592709751912399,0.08659993739565315
2455188.888514228,2455188.8926009955,0.9426513434765695,0.02063362100608374,-0.025648909175061033,0.14998979451034053,0.022414055809519804,0.08519624611846033
2455176.392437254,2455176.3951617186,0.5794379292692045,0.016824765556008373,-0.2369930798378614,0.16188901781004825,0.024314003399277532,0.0838552554557782
2455176.5858799205,2455176.5879231687,0.5562508250253908,0.01607064442080863,-0.2547293318695128,0.1734708903598634,0.018981585112885214,0.08257252183503319
