tstart,tstop,ED,EDerr,ffd_x,ffd_y,ffd_xerr,ffd_yerr
2458701.9476500675,2458701.9712607805,41.70000969884813,3.074613689112585,1.6201361559846863,-1.3742097948518903,0.1508595006044289,1.0088120793450746
2458694.700529592,2458694.7074739817,6.145789216637086,1.4620659917562917,0.7885776610910085,-1.073179799187909,0.30419656747559654,0.5772452022003458
2458691.1283375113,2458691.1338930195,5.391998930682976,1.3978096729088203,0.7317497973999398,-0.8970885401322277,0.27710037419539274,0.4251007099279294
2458686.7033741665,2458686.7075408,5.030776483597271,1.305776199139017,0.7016350221365747,-0.7721498035239278,0.22213028844557992,0.3452043402700165
2458702.4351418354,2458702.442086162,4.7181397442998065,1.1451775873553363,0.6737707998983469,-0.6752397905158714,0.3971915988260666,0.2951392130518884
2458704.130946348,2458704.1337240785,3.3979108480585083,1.10632083083159,0.5312119799761797,-0.5960585444682466,0.2192071465360126,0.2604374406763506
2458690.933894728,2458690.9380613593,2.9030566556366364,0.7828406499130253,0.4628555115430972,-0.5291117548376333,0.38724204025323083,0.2347598787943683
2458692.1186068007,2458692.1227734317,2.84886363054507,0.6974202328788909,0.45467166092103767,-0.4711198078599466,0.39466828624685635,0.21486936050662836
2458690.0644576675,2458690.068624299,2.8328689219894985,0.7457985165590754,0.4522264800009721,-0.4199672854125653,0.3969144713053947,0.19893095188932114
2458695.4185796445,2458695.419968523,2.7513065971263124,0.7961840386893556,0.43953898952481435,-0.3742097948518902,0.13415948736286987,0.18582241651653322
2458704.4920512903,2458704.494829021,2.5616292681503814,0.7167468115248523,0.40851627667843754,-0.3328171096936651,0.29179830634059645,0.17481645120887818
2458691.4727790076,2458691.4741678843,2.4504433638881795,0.7525622749911903,0.38924466929097234,-0.2950285488042654,0.1510178150018445,0.1654196634679031
2458690.3616773747,2458690.36862176,2.443647850558262,0.6735245260256936,0.3880386207282412,-0.2602664425450534,0.7698252726475293,0.15728473244043822
2458684.9950543335,2458684.9964432116,2.422088514884008,0.7082118233714552,0.3841900103277858,-0.22808175917365214,0.15282270598056716,0.1501595777428738
2458700.333788273,2458700.336566004,2.3241464951955715,0.766868757237898,0.3662634989549165,-0.19811853579620894,0.321936205397686,0.14385648494858136
2458696.1866296837,2458696.192185198,2.1996346546723045,0.6366310076155057,0.34235055326043085,-0.17008981219596542,0.6838302037102867,0.1382325782831936
2458704.076780606,2458704.078169471,2.0796547348168875,0.590003633354391,0.3179912391886059,-0.14376087347361624,0.17850302994038766,0.13317703864668626
2458695.471357035,2458695.4727459135,1.8906456073767337,0.48444534990072274,0.276610130016518,-0.11893728974858411,0.19666473153608224,0.12860248623118545
2458703.0337428045,2458703.0392982657,0.5249596109760373,0.13204659986493006,-0.27987410879402064,-0.09545619389906124,2.8753342866994442,0.12443901982447243
2458691.0422271364,2458691.0422271364,0.0,0.0,-inf,-0.07317979918790901,,0.12062999987437413
2458691.08250457,2458691.08250457,0.0,0.0,-inf,-0.051990500117970906,,0.1171290051710227
2458691.1463929126,2458691.1463929126,0.0,0.0,-inf,-0.03178711402968395,,0.11389759718800556
2458691.165837191,2458691.165837191,0.0,0.0,-inf,-0.01248195883429732,,0.11090365139136645
2458708.371151976,2458708.371151976,0.0,0.0,-inf,0.006001446859715811,,0.10812009372481544
2458690.4297323525,2458690.4297323525,0.0,0.0,-inf,0.023730213820147433,,0.10552393135921022
2458690.7811182532,2458690.7811182532,0.0,0.0,-inf,0.04076355311892782,,0.10309550031019218
2458690.682507982,2458690.682507982,0.0,0.0,-inf,0.05715396930709711,,0.10081787503543951
2458690.4422322465,2458690.4422322465,0.0,0.0,-inf,0.07294823649032905,,0.09867640050584309
2458691.303336014,2458691.303336014,0.0,0.0,-inf,0.08818820304706587,,0.09665831792868874
2458690.4144547046,2458690.4144547046,0.0,0.0,-inf,0.10291145986777224,,0.0947524628314447
2458690.3991770563,2458690.3991770563,0.0,0.0,-inf,0.11715189898238251,,0.0929490195954022
2458690.3241776926,2458690.3241776926,0.0,0.0,-inf,0.13094018346801575,,0.09123932042165334
2458690.295011273,2458690.295011273,0.0,0.0,-inf,0.14430414502599728,,0.08961567956196546
2458690.095012965,2458690.095012965,0.0,0.0,-inf,0.15726912219036496,,0.08807125575631577
2458690.007513704,2458690.007513704,0.0,0.0,-inf,0.16985824949838543,,0.08659993739565314
2458689.982513915,2458689.982513915,0.0,0.0,-inf,0.18209270591539709,,0.08519624611846033
2458691.176948207,2458691.176948207,0.0,0.0,-inf,0.19399192921510477,,0.08385525545577821
2458691.435279329,2458691.435279329,0.0,0.0,-inf,0.20557380176491996,,0.08257252183503319
2458691.363057725,2458691.363057725,0.0,0.0,-inf,0.21685481217460903,,0.08134402579134002
2458691.393613019,2458691.393613019,0.0,0.0,-inf,0.2278501964760722,,0.08016612165460747
2458693.658871459,2458693.658871459,0.0,0.0,-inf,0.2385740618678453,,0.0790354943102071
2458693.6213717735,2458693.6213717735,0.0,0.0,-inf,0.2490394955460103,,0.07794912189127844
2458693.5908164745,2458693.5908164745,0.0,0.0,-inf,0.2592586607276963,,0.07690424346772944
2458693.3880404066,2458693.3880404066,0.0,0.0,-inf,0.26924288163429727,,0.07589833096254998
2458693.339429707,2458693.339429707,0.0,0.0,-inf,0.2790027189234535,,0.0749290646592251
2458693.3185965493,2458693.3185965493,0.0,0.0,-inf,0.2885480368296839,,0.07399431177172493
2458693.297763393,2458693.297763393,0.0,0.0,-inf,0.29788806308382726,,0.07309210763607986
2458693.2824857445,2458693.2824857445,0.0,0.0,-inf,0.307031442523697,,0.07222063915403935
2458693.240819431,2458693.240819431,0.0,0.0,-inf,0.3159862851766235,,0.07137823017797408
2458693.2213751515,2458693.2213751515,0.0,0.0,-inf,0.32476020948412865,,0.07056332857452847
2458692.9116555653,2458692.9116555653,0.0,0.0,-inf,0.33336038124604617,,0.06977449474454554
2458692.869989254,2458692.869989254,0.0,0.0,-inf,0.341793548782909,,0.06901039141003971
2458692.8366562054,2458692.8366562054,0.0,0.0,-inf,0.3500660747488989,,0.068269774506736
2458692.760267969,2458692.760267969,0.0,0.0,-inf,0.3581839649710783,,0.06755148504392312
2458692.733879306,2458692.733879306,0.0,0.0,-inf,0.3661528946423536,,0.06685444181289103
2458692.65749107,2458692.65749107,0.0,0.0,-inf,0.37397823215431025,,0.06617763484168433
2458692.429715243,2458692.429715243,0.0,0.0,-inf,0.3816650608206012,,0.06552011950783015
2458692.244994605,2458692.244994605,0.0,0.0,-inf,0.38921819871104707,,0.06488101123251938
2458692.0852737534,2458692.0852737534,0.0,0.0,-inf,0.396642216790254,,0.06425948068978302
2458691.965830334,2458691.965830334,0.0,0.0,-inf,0.4039414555317534,,0.06365474947279678
2458691.8908309774,2458691.8908309774,0.0,0.0,-inf,0.4111200401588768,,0.06306608616680429
2458691.699165955,2458691.699165955,0.0,0.0,-inf,0.4181818946463637,,0.06249280278446516
2458691.520000825,2458691.520000825,0.0,0.0,-inf,0.42513075460169153,,0.0619342515248725
2458689.868625986,2458689.868625986,0.0,0.0,-inf,0.431970179131997,,0.061389821822177004
2458691.410279543,2458691.410279543,0.0,0.0,-inf,0.4387035617909654,,0.06085893765381551
2458689.9394587227,2458689.9394587227,0.0,0.0,-inf,0.4453341406899785,,0.0603410550818636
2458689.664461036,2458689.664461036,0.0,0.0,-inf,0.45186500784893624,,0.05983566000409234
2458689.811682021,2458689.811682021,0.0,0.0,-inf,0.4582991178543462,,0.05934226609397721
2458684.8242223384,2458684.8242223384,0.0,0.0,-inf,0.4646392958853651,,0.05886041291123525
2458686.3811545116,2458686.3811545116,0.0,0.0,-inf,0.4708882451623666,,0.058389664166503444
2458686.3339326642,2458686.3339326642,0.0,0.0,-inf,0.47704855386718514,,0.0579296061255588
2458686.1894893665,2458686.1894893665,0.0,0.0,-inf,0.48312270157937826,,0.05747984614004828
2458685.9297692003,2458685.9297692003,0.0,0.0,-inf,0.4891130652685657,,0.057040011293078785
2458685.9075471535,2458685.9075471535,0.0,0.0,-inf,0.495021924879086,,0.05660974714923489
2458685.7464373144,2458685.7464373144,0.0,0.0,-inf,0.5008514685398099,,0.05618871659966746
